"Neighborhood";"sqft";"address";"latitude";"longitude"
"East New York";1200;"950 Dumont Ave";40.6678932824232;-73.8833761047483
"East New York";1200;"954 Dumont Ave";40.6679112688638;-73.8832861725454
"East New York";1300;"956 Dumont Ave";40.6679202620841;-73.8831962403425
"East New York";1300;"960 Dumont Ave";40.6679382485247;-73.8831063081395
"East New York";2126;"676 Cleveland Street";40.6678147213017;-73.8827786521351
"Bushwick";1500;"811 Knickerbocker Ave";40.6924357806028;-73.9071271995422
"Bushwick";2000;"309 Eldert";40.6929394009392;-73.9070102876784
"East New York";2333;"436 Logan";40.675528526452;-73.8764153522416
"East New York";2340;"781 Belmont";40.6727945874829;-73.8809299488286
"Manhattan";17096;"102 Bradhurst Ave";40.8246028524071;-73.94183304765
"Long Island City";3100;"33-38 10th Street";40.7663780378519;-73.9377401214196
"Kingsbridge Heights";1008;"103 East 196th Street";40.8684125428449;-73.8940720389584
"Harlem";16600;"4-20 E. 117th Street";40.7962535156652;-73.9339809553371
"Mott Haven";4100;"413-415 East 146th Street";40.8123597936702;-73.9140956286959
"Mott Haven";4100;"409-411 East 146th Street";40.8123597936702;-73.9140956286959
"Mott Haven";6000;"455 East 146th Street";40.8133136545611;-73.9170377283051
"Mott Haven";12126;"480-490 East 143th Street";40.8075800001171;-73.9184800002516
"Mott Haven";4500;"521-525 East 145th Street";40.8117110894441;-73.914496746329
"Fort Greene";11000;"177 Myrtle Avenue";40.6936551462638;-73.9822677933954
"Brownsville";7375;"1142 Lenox Rd";40.6594091032369;-73.9182667306265
"Brownsville";5888;"1145 Lenox Rd";40.6596554926348;-73.9180629554185
"Bronx";3500;"411 east 136th Street";40.8076909526722;-73.9233832147268
"Bronx";10700;"416 east 137th street";40.8080796003505;-73.9226045316664
"Bronx";3375;"520 144th Street";40.8115188341527;-73.9165969242641
"Bronx";3375;"530 144th Street";40.8114487074521;-73.916384622883
"Bronx";3375;"540 144th Street";40.8113785807516;-73.9161723215018
"Bronx";3000;"550 144th Street";40.8113084540981;-73.9159600202633
"Bronx";3000;"560 144th Street";40.8112383274211;-73.9157477189534
"Bronx";1700;"445 146th Street";40.8136607851577;-73.9178997787901
"Bronx";8650;"510/512 E 146th Street";40.8122593293605;-73.9141536600796
"Bronx";8300;"511/513 E 146th Street";40.8123597936702;-73.9140956286959
"Bronx";3800;"521 E 146th Street";40.8126969781296;-73.9151146750621
"Bronx";3800;"525 E 146th Street";40.8126796866144;-73.9150624162606
"Bronx";8300;"530/528 E 146th Street";40.8122593293605;-73.9141536600796
"Bronx";7400;"537/545 E 146th Street";40.8123597936702;-73.9140956286959
"Bronx";10000;"505/509/511/517 144th Street";40.8115886995113;-73.9164462586496
"Long Island City";7000;"34-16 Astoria Blvd S";40.7695526446153;-73.9153829757711
"Harlem";18032;"50 West 139th st";40.8159366284142;-73.9373614006538
"Harlem";15352;"560 Lenox Avenue";40.8161734986142;-73.9392060163273
"Bedford Stuyvesant";4896;"218 Gates Avenue";40.6854823513083;-73.956477968046
"Bedford Stuyvesant";6645;"210 Kosciusko Avenue";40.6911317636603;-73.9465804569675
"Bedford Stuyvesant";6645;"686 Lafayette Avenue";40.6904112390545;-73.9462541504325
"East New York";3226;"1900 Sterling Place";40.6705912485111;-73.9153649893306
"Hollis";7000;"204-01 Hollis Avenue";40.7068069466311;-73.7537388342247
"East Corona";8600;"100-01 Northern Blvd";40.7574117972197;-73.8681236031314
"East Flushing";7400;"196-36 Northern Blvd";40.7577742551293;-73.7841995833971
"Bayside";8000;"214-20 Northern Blvd";40.7603525802556;-73.7684607358444
"Astoria";2600;"40-20 Broadway";40.7586978277217;-73.9184406706707
